"gene_id"	"C1A"	"C1B"	"C2A"	"C2B"	"C5A"	"C5B"	"H1A"	"H1B"	"H2A"	"H2B"	"H5A"	"H5B"
"g31704"	210	322	194	119	286	247	188	345	334	137	255	38
"g31705"	0	7	0	0	3	0	0	4	0	4	11	1
"g31706"	16	12	14	11	22	13	5	23	13	20	13	4
"g31707"	18	37	14	12	87	46	28	34	38	17	38	8
"g31708"	0	0	0	0	0	0	0	0	0	0	0	0
"g31709"	16	8	13	7	25	19	19	26	20	9	14	4
"g3171"	0	1	0	4	0	0	0	1	0	0	1	0
"g31710"	88	178	99	71	205	216	109	189	153	61	192	47
"g31711"	1	6	8	2	2	4	3	5	8	1	4	1
"g31712"	0	2	0	1	0	0	5	1	8	1	0	0
"g31713"	1	8	0	4	2	2	5	1	14	2	5	0
"g31714"	0	0	1	4	6	17	5	3	0	0	6	0
"g31715"	0	0	0	0	0	0	0	0	0	0	0	0
"g31716"	0	2	0	3	0	0	0	3	0	1	0	0
"g31717"	0	4	9	2	9	5	6	8	15	0	19	0
"g31718"	2	0	0	0	0	0	0	0	0	0	0	0
"g31719"	4	10	16	9	10	7	5	13	9	4	13	3
"g3172"	0	0	0	0	0	0	0	15	1	0	10	0
"g31720"	0	4	1	0	8	4	1	4	12	0	6	5
"g31721"	17	32	28	16	17	40	22	36	47	13	31	8
"g31722"	222	307	184	153	332	341	187	274	348	125	335	69
"g31723"	0	0	0	0	0	0	0	0	0	0	0	0
"g31724"	14	21	3	3	9	12	5	5	1	4	7	1
"g31725"	0	21	25	6	14	14	5	19	11	3	18	1
"g31726"	28	15	37	22	69	28	25	38	26	1	29	1
"g31727"	26	54	15	19	65	35	34	39	56	6	71	14
"g31728"	121	170	72	84	194	206	100	192	176	44	176	30
"g31729"	0	3	0	0	0	10	1	6	0	13	2	0
"g3173"	2	7	5	7	11	8	2	5	15	7	10	1
"g31730"	29	24	60	14	58	61	20	44	56	38	57	14
"g31731"	0	0	0	0	0	0	0	0	0	0	0	0
"g31732"	0	0	0	0	0	0	0	0	0	0	0	0
"g31733"	64	86	56	32	85	91	73	110	113	44	110	16
"g31734"	0	0	0	0	0	1	0	0	0	0	0	0
